rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,9.48803557,2.9575,615.8,2.26,793,5455,4.467,0.927
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,54.4183827,4.507,874.8,2.83,443,5455,4.467,0.927
3,10811496,K00753.01,,FALSE POSITIVE,FALSE POSITIVE,0,19.89913995,1.7822,10829,14.6,638,5853,4.544,0.868
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.736952453,2.40641,8079.2,33.46,1395,5805,4.564,0.791
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,2.525591777,1.6545,603.3,2.75,1406,6031,4.438,1.046
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,11.09432054,4.5945,1517.5,3.9,835,6046,4.486,0.972
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,4.13443512,3.1402,686,2.77,1160,6046,4.486,0.972
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,2.56658897,2.429,226.5,1.59,1360,6046,4.486,0.972
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.36178958,5.022,233.7,39.21,1342,6227,3.986,1.958
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,16.06864674,3.5347,4914.3,5.76,600,5031,4.485,0.848
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,2.470613377,1.74319,14231,13.04,1339,5820,4.457,0.964
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,2.204735417,3.88864,6674.7,16.1,2048,6440,4.019,1.952
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,3.522498429,3.19843,9145.7,14.59,1521,6225,4.169,1.451
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1,3.709214104,2.6302,131.1,1.16,1206,5833,4.407,1.022
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,11.52144606,3.6399,17984,150.51,753,5795,4.554,0.848
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,19.40393776,12.2155,8918.7,7.18,523,5043,4.591,0.68
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0,19.22138894,4.79843,74284,49.29,698,6117,4.496,0.947
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,16.46983774,9.4378,10479,7.94,595,5152,4.517,0.786
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1,9.27358173,3.2875,1288.3,2.47,649,4856,4.583,0.696
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1,6.02930329,1.5821,1912.7,2.85,678,4537,4.648,0.672
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.696370652,3.6129,397.9,1.58,1066,4989,4.504,0.819
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1,5.349553819,3.0278,831,2.55,919,5185,4.44,0.91
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,3.94105221,2.5984,363.3,1.7,1018,5185,4.44,0.91
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,8.10904807,3.596,217.4,1.3,800,5185,4.44,0.91
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,386.6030528,6.8057,24927,41.5,297,5543,4.081,1.58
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1,21.67699193,3.4555,857.2,2.95,530,4954,4.5,0.828
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1,4.99677968,2.1717,934.7,2.78,917,5339,4.552,0.847
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1,4.280963604,2.875,750.8,2.3,1012,5644,4.564,0.831
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.50635409,1.5155,2211.7,4.53,1452,5714,4.563,0.831
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0,670.645531,53.412,18091,14.14,196,5520,4.466,0.983
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0,61.2563628,7.633,5123.3,39.87,505,6144,4.402,1.091
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1,38.3775486,5.588,724.2,2.82,529,5481,4.369,1.036
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,41.19725502,4.6297,2213.9,3.86,439,5031,4.485,0.848
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1,6.252962249,2.5819,1036.9,2.65,823,5031,4.485,0.848
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1,16.01308419,3.2554,1121.9,3.1,593,5015,4.499,0.826
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1,32.62876672,4.7971,1804.8,3.36,506,5586,4.56,0.798
